id,busId,routeId,driverId,status,mode,startedAt,endedAt
c98be24d-b637-4646-b80f-17789faeeaa2,bus-05,route-05,c4df0d3b-9050-4667-a354-a72c41d78c5b,completed,simulation,2026-08-27T15:05:20.020Z,2026-08-28T12:36:18.896Z
0ff136df-b834-41ea-bd5b-83d119c81418,bus-01,route-01,driver-01,completed,real_gps,2026-08-27T15:30:41.526Z,2026-08-27T15:32:02.035Z
9c9a72a3-99e3-4115-ab3d-c314335df009,bus-05,route-05,driver-demo-01,completed,simulation,2026-08-28T12:36:20.330Z,2026-08-28T12:51:43.844Z
6f38ad57-f87a-4fc0-b4fa-dccf8702184a,bus-05,route-05,driver-demo-01,completed,simulation,2026-08-28T12:51:45.125Z,2026-08-28T12:52:08.738Z
a77b35c2-7035-47cd-9670-05248675d6fd,bus-05,route-05,driver-demo-01,completed,simulation,2026-08-28T12:58:17.423Z,2026-08-28T12:58:21.015Z
6dd59c00-5909-4355-a61f-e8e4e8cdd691,bus-05,route-05,driver-demo-01,completed,real_gps,2026-08-28T13:00:18.200Z,2026-08-28T13:00:29.288Z
c4cf9d6f-1867-4425-a79d-a3ea2ad834dc,bus-05,route-05,driver-demo-01,completed,simulation,2026-08-28T13:00:32.362Z,2026-08-28T13:00:35.960Z
b821bad4-b6f9-4329-8ad7-8763a98f4b88,bus-05,route-05,driver-demo-01,completed,simulation,2026-08-28T13:06:18.059Z,2026-08-28T13:06:21.638Z
79a50778-2c53-43b5-b26a-6205365876a1,bus-01,route-01,driver-01,completed,simulation,2026-09-01T14:35:31.151Z,2026-09-01T14:35:34.733Z
23691479-7c8e-42ac-ae3b-30d08ba4edb2,bus-01,route-01,driver-01,completed,simulation,2026-09-01T14:35:44.197Z,2026-09-01T14:35:47.779Z
c3359104-3fc4-42e4-a51a-4834f96e3501,bus-01,route-01,driver-01,completed,simulation,2026-09-01T14:36:14.273Z,2026-09-01T14:36:17.830Z
32042be9-609a-4184-8241-4c19e492754a,bus-01,route-01,driver-01,completed,simulation,2026-09-01T14:40:43.961Z,2026-09-01T14:41:24.838Z
e0dd5a8f-5c25-483f-b378-6132b39ab491,bus-01,route-01,driver-01,completed,simulation,2026-09-01T14:44:30.036Z,2026-09-01T14:46:58.127Z
9cb5ca56-902f-48db-98cb-e143cbc4aeba,bus-01,route-01,driver-01,completed,simulation,2026-09-01T14:47:00.091Z,2026-09-01T14:47:16.559Z
93729882-7bce-4767-8714-c4d671692234,bus-01,route-01,driver-01,completed,simulation,2026-09-01T14:50:33.356Z,2026-09-01T14:50:58.855Z
5421c246-f5f6-4369-b57b-705d0de02fc1,bus-01,route-01,driver-01,completed,simulation,2026-09-01T14:54:08.840Z,2026-09-01T14:54:21.193Z
4a6855f1-5d1b-44c7-bbd6-80c4d3cdcf2c,bus-01,route-01,driver-01,completed,simulation,2026-09-01T15:35:37.187Z,2026-09-01T15:35:39.297Z
18097da0-46ae-43be-a9b3-a723699413ff,bus-01,route-01,driver-01,completed,simulation,2026-09-01T15:41:00.331Z,2026-09-01T15:41:09.367Z
6ef24e38-928b-4235-baf0-b4ab505fa294,bus-01,route-01,driver-01,completed,simulation,2026-09-01T15:51:20.669Z,2026-09-01T15:51:36.121Z
882dbecd-2eaf-4c38-a1a8-97e44e758951,bus-01,route-01,driver-01,completed,simulation,2026-09-01T15:56:00.924Z,2026-09-01T15:56:34.372Z
da71843a-1201-4aae-842e-3a6dc7d7a33b,bus-01,route-01,driver-01,completed,simulation,2026-09-01T16:09:04.304Z,2026-09-01T16:09:37.654Z
e4abbfb5-c9e2-4ee0-abae-a4d7ed30dca2,bus-01,route-01,driver-01,completed,real_gps,2026-09-01T16:20:40.733Z,2026-09-01T16:20:58.524Z
9938ab27-4b8b-4a5c-8c8a-d3fabea5425c,bus-01,route-01,driver-01,completed,simulation,2026-09-01T16:21:00.584Z,2026-09-01T16:23:34.547Z
d1ac169a-b073-47f2-9b80-075f9e18d277,bus-01,route-01,driver-01,completed,simulation,2026-09-01T16:23:35.814Z,2026-09-01T16:24:32.715Z
